bid_min,bid_max,wait_min,ask_lo,ask_hi,n_train,train_edge,train_dpd
0.7,0.75,2,0.65,0.9,236,8.751508474576271,8.60565
0.7,0.85,2,0.6,0.9,236,8.751508474576271,8.60565
0.6,0.85,2,0.6,0.9,236,8.751508474576271,8.60565
0.6,0.8,2,0.6,0.9,236,8.751508474576271,8.60565
0.6,0.75,2,0.55,0.9,236,8.751508474576271,8.60565
0.6,0.8,2,0.55,0.9,236,8.751508474576271,8.60565
0.6,0.75,2,0.65,0.9,236,8.751508474576271,8.60565
0.6,0.75,2,0.6,0.9,236,8.751508474576271,8.60565
0.6,0.8,2,0.65,0.9,236,8.751508474576271,8.60565
0.65,0.85,2,0.6,0.9,236,8.751508474576271,8.60565
0.65,0.8,2,0.65,0.9,236,8.751508474576271,8.60565
0.65,0.8,2,0.55,0.9,236,8.751508474576271,8.60565
0.65,0.85,2,0.65,0.85,210,8.459342857142856,7.401925000000001
0.65,0.8,2,0.65,0.85,210,8.459342857142856,7.401925000000001
0.6,0.85,2,0.6,0.85,210,8.459342857142856,7.401925000000001
0.65,0.75,2,0.55,0.85,210,8.459342857142856,7.401925000000001
0.6,0.85,2,0.65,0.85,210,8.459342857142856,7.401925000000001
0.6,0.85,2,0.55,0.85,210,8.459342857142856,7.401925000000001
0.6,0.8,2,0.55,0.85,210,8.459342857142856,7.401925000000001
0.6,0.8,2,0.6,0.85,210,8.459342857142856,7.401925000000001
0.6,0.75,2,0.6,0.85,210,8.459342857142856,7.401925000000001
0.6,0.75,2,0.65,0.85,210,8.459342857142856,7.401925000000001
0.6,0.75,2,0.55,0.85,210,8.459342857142856,7.401925000000001
0.65,0.75,2,0.65,0.85,210,8.459342857142856,7.401925000000001
0.65,0.75,2,0.6,0.85,210,8.459342857142856,7.401925000000001
0.6,0.8,2,0.65,0.85,210,8.459342857142856,7.401925000000001
0.7,0.75,2,0.6,0.85,210,8.459342857142856,7.401925000000001
0.7,0.75,2,0.65,0.85,210,8.459342857142856,7.401925000000001
0.7,0.85,2,0.65,0.85,210,8.459342857142856,7.401925000000001
0.7,0.85,2,0.55,0.85,210,8.459342857142856,7.401925000000001
0.7,0.85,2,0.6,0.85,210,8.459342857142856,7.401925000000001
0.65,0.8,2,0.6,0.85,210,8.459342857142856,7.401925000000001
0.65,0.8,2,0.55,0.85,210,8.459342857142856,7.401925000000001
0.65,0.85,2,0.6,0.85,210,8.459342857142856,7.401925000000001
0.7,0.8,2,0.65,0.85,210,8.459342857142856,7.401925000000001
0.7,0.8,2,0.55,0.85,210,8.459342857142856,7.401925000000001
0.7,0.75,2,0.55,0.85,210,8.459342857142856,7.401925000000001
0.65,0.85,2,0.55,0.85,210,8.459342857142856,7.401925000000001
0.7,0.8,2,0.6,0.85,210,8.459342857142856,7.401925000000001
0.7,0.75,3,0.65,0.8,130,6.6590923076923065,3.607008333333332
0.7,0.8,3,0.65,0.8,130,6.6590923076923065,3.607008333333332
0.7,0.85,3,0.6,0.8,130,6.6590923076923065,3.607008333333332
0.6,0.75,3,0.6,0.8,130,6.6590923076923065,3.607008333333332
0.6,0.8,3,0.6,0.8,130,6.6590923076923065,3.607008333333332
0.6,0.75,3,0.65,0.8,130,6.6590923076923065,3.607008333333332
0.65,0.85,3,0.65,0.8,130,6.6590923076923065,3.607008333333332
0.65,0.8,3,0.6,0.8,130,6.6590923076923065,3.607008333333332
0.65,0.8,3,0.55,0.8,130,6.6590923076923065,3.607008333333332
0.65,0.8,3,0.65,0.8,130,6.6590923076923065,3.607008333333332
0.7,0.8,3,0.55,0.8,130,6.6590923076923065,3.607008333333332
0.7,0.8,3,0.6,0.8,130,6.6590923076923065,3.607008333333332
