coin,wkey,ticker,day,hour,minute,secs,px,vol,frac_long,won,edge
XRP,26JUL251600,KXXRP15M-26JUL251600-00,2026-07-25,20,5,357.5933771133423,0.94,11622.330000000005,0.44789469925565717,1,0.06000000000000005
XRP,26JUL251600,KXXRP15M-26JUL251600-00,2026-07-25,20,2,141.2016110420227,0.943,15079.590000000011,0.4568559224753459,1,0.05700000000000005
XRP,26JUL251615,KXXRP15M-26JUL251615-15,2026-07-25,20,2,176.7858591079712,0.55,14.43,0.0,0,-0.55
XRP,26JUL251630,KXXRP15M-26JUL251630-30,2026-07-25,20,12,729.8511550426483,0.72,92.77,0.0,1,0.28
XRP,26JUL251630,KXXRP15M-26JUL251630-30,2026-07-25,20,11,717.8113629817963,0.73,252.98000000000002,0.513874614594039,1,0.27
XRP,26JUL251630,KXXRP15M-26JUL251630-30,2026-07-25,20,10,654.1046440601349,0.86,2206.6100000000006,0.8316875206765126,1,0.14
XRP,26JUL251630,KXXRP15M-26JUL251630-30,2026-07-25,20,9,597.146234035492,0.88,2892.1900000000023,0.7592585549358785,1,0.12
XRP,26JUL251630,KXXRP15M-26JUL251630-30,2026-07-25,20,8,539.32563996315,0.88,3722.1900000000046,0.7223462531466683,1,0.12
XRP,26JUL251630,KXXRP15M-26JUL251630-30,2026-07-25,20,7,479.29023003578186,0.85,4663.650000000005,0.7377354647111163,1,0.15000000000000002
XRP,26JUL251630,KXXRP15M-26JUL251630-30,2026-07-25,20,6,418.01754903793335,0.86,5138.260000000006,0.7157695406616242,1,0.14
XRP,26JUL251630,KXXRP15M-26JUL251630-30,2026-07-25,20,5,357.17918705940247,0.54,7936.140000000006,0.6277384219532417,1,0.45999999999999996
XRP,26JUL251630,KXXRP15M-26JUL251630-30,2026-07-25,20,4,291.4102919101715,0.6599999999999999,11096.590000000007,0.5087869336435791,1,0.3400000000000001
XRP,26JUL251630,KXXRP15M-26JUL251630-30,2026-07-25,20,3,234.63581895828247,0.86,15422.360000000011,0.510357040037971,1,0.14
XRP,26JUL251630,KXXRP15M-26JUL251630-30,2026-07-25,20,2,168.1803469657898,0.8200000000000001,17920.93,0.49553622496154004,1,0.17999999999999994
XRP,26JUL251645,KXXRP15M-26JUL251645-45,2026-07-25,20,14,894.4395310878754,0.55,24.0,0.0,0,-0.55
XRP,26JUL251645,KXXRP15M-26JUL251645-45,2026-07-25,20,13,837.5337760448456,0.69,2881.499999999999,0.2844976574700678,1,0.31000000000000005
XRP,26JUL251645,KXXRP15M-26JUL251645-45,2026-07-25,20,12,777.809662103653,0.62,3320.7299999999996,0.31255175819774567,1,0.38
XRP,26JUL251645,KXXRP15M-26JUL251645-45,2026-07-25,20,11,706.5665349960327,0.72,3894.5899999999992,0.3553519112409779,1,0.28
XRP,26JUL251645,KXXRP15M-26JUL251645-45,2026-07-25,20,10,659.0481750965118,0.6799999999999999,5003.9000000000015,0.422454485501309,1,0.32000000000000006
XRP,26JUL251645,KXXRP15M-26JUL251645-45,2026-07-25,20,9,599.3565700054169,0.76,5841.230000000004,0.452082866108679,1,0.24
XRP,26JUL251645,KXXRP15M-26JUL251645-45,2026-07-25,20,8,539.7391450405121,0.8,6235.320000000004,0.44795776319419045,1,0.19999999999999996
XRP,26JUL251645,KXXRP15M-26JUL251645-45,2026-07-25,20,7,462.52745294570923,0.81,6694.260000000005,0.45138820422272213,1,0.18999999999999995
XRP,26JUL251645,KXXRP15M-26JUL251645-45,2026-07-25,20,6,404.296000957489,0.88,7574.040000000007,0.47873789945656464,1,0.12
XRP,26JUL251645,KXXRP15M-26JUL251645-45,2026-07-25,20,5,355.9022889137268,0.89,7924.040000000006,0.4788794604772312,1,0.10999999999999999
XRP,26JUL251645,KXXRP15M-26JUL251645-45,2026-07-25,20,4,297.4037010669708,0.931,8517.67000000001,0.48255450140707484,1,0.06899999999999995
XRP,26JUL251645,KXXRP15M-26JUL251645-45,2026-07-25,20,3,236.08308792114258,0.931,9942.340000000017,0.5406614539434373,1,0.06899999999999995
XRP,26JUL251700,KXXRP15M-26JUL251700-00,2026-07-25,21,14,891.8101909160614,0.5,30.0,0.0,1,0.5
XRP,26JUL251700,KXXRP15M-26JUL251700-00,2026-07-25,21,13,839.7268071174622,0.88,2429.8599999999997,0.339550426773559,1,0.12
XRP,26JUL251700,KXXRP15M-26JUL251700-00,2026-07-25,21,12,779.9138820171356,0.84,3966.25,0.5664242042231326,1,0.16000000000000003
XRP,26JUL251700,KXXRP15M-26JUL251700-00,2026-07-25,21,11,719.4058060646057,0.84,6689.740000000003,0.716422461859504,1,0.16000000000000003
XRP,26JUL251700,KXXRP15M-26JUL251700-00,2026-07-25,21,10,658.3526151180267,0.86,10342.130000000001,0.68275974098179,1,0.14
XRP,26JUL251700,KXXRP15M-26JUL251700-00,2026-07-25,21,9,594.9351470470428,0.9,14869.530000000006,0.7318449204514198,1,0.09999999999999998
XRP,26JUL251700,KXXRP15M-26JUL251700-00,2026-07-25,21,8,530.1895549297333,0.907,16805.51000000001,0.6834990428734384,1,0.09299999999999997
XRP,26JUL251700,KXXRP15M-26JUL251700-00,2026-07-25,21,7,478.04263401031494,0.902,18274.31,0.6994786670467996,1,0.09799999999999998
XRP,26JUL251700,KXXRP15M-26JUL251700-00,2026-07-25,21,6,416.4616448879242,0.919,19619.289999999986,0.6838698036473293,1,0.08099999999999996
XRP,26JUL251715,KXXRP15M-26JUL251715-15,2026-07-25,21,5,305.4112219810486,0.72,0.02,0.0,0,-0.72
XRP,26JUL251715,KXXRP15M-26JUL251715-15,2026-07-25,21,4,298.5185010433197,0.71,147.01,0.42180804026936947,0,-0.71
XRP,26JUL251715,KXXRP15M-26JUL251715-15,2026-07-25,21,3,239.65318489074707,0.61,6676.530000000004,0.38660501787605195,1,0.39
XRP,26JUL251715,KXXRP15M-26JUL251715-15,2026-07-25,21,2,179.3639690876007,0.53,11420.53000000002,0.39988687039918397,1,0.47
XRP,26JUL251730,KXXRP15M-26JUL251730-30,2026-07-25,21,7,449.30574107170105,0.78,0.0,0.0,0,-0.78
XRP,26JUL251730,KXXRP15M-26JUL251730-30,2026-07-25,21,6,411.37722301483154,0.81,914.6399999999998,0.26700122452549646,0,-0.81
XRP,26JUL251730,KXXRP15M-26JUL251730-30,2026-07-25,21,5,359.7891149520874,0.94,3008.690000000001,0.2657335916960536,0,-0.94
XRP,26JUL251730,KXXRP15M-26JUL251730-30,2026-07-25,21,4,294.7854039669037,0.77,3991.760000000006,0.34326462512776257,0,-0.77
XRP,26JUL251730,KXXRP15M-26JUL251730-30,2026-07-25,21,3,236.48812103271484,0.75,4393.23000000001,0.34787388777732914,0,-0.75
XRP,26JUL251730,KXXRP15M-26JUL251730-30,2026-07-25,21,2,172.9425220489502,0.8200000000000001,5151.670000000013,0.3928434857046343,0,-0.8200000000000001
XRP,26JUL251745,KXXRP15M-26JUL251745-45,2026-07-25,21,9,566.1072430610657,0.74,98.19,0.0,1,0.26
XRP,26JUL251745,KXXRP15M-26JUL251745-45,2026-07-25,21,8,539.5318291187286,0.77,1316.6599999999999,0.5623851260006381,1,0.22999999999999998
XRP,26JUL251745,KXXRP15M-26JUL251745-45,2026-07-25,21,7,479.7624189853668,0.72,3232.4,0.44804789011260976,1,0.28
XRP,26JUL251745,KXXRP15M-26JUL251745-45,2026-07-25,21,6,419.41079592704773,0.82,6771.67,0.3378147487990407,1,0.18000000000000005
XRP,26JUL251745,KXXRP15M-26JUL251745-45,2026-07-25,21,5,356.9060249328613,0.84,10145.370000000008,0.3633480099789361,1,0.16000000000000003
XRP,26JUL251745,KXXRP15M-26JUL251745-45,2026-07-25,21,4,298.5456631183624,0.919,13450.140000000009,0.47085383497866934,1,0.08099999999999996
XRP,26JUL251800,KXXRP15M-26JUL251800-00,2026-07-25,22,7,456.19312500953674,0.5700000000000001,201.06000000000003,0.0,1,0.42999999999999994
XRP,26JUL251800,KXXRP15M-26JUL251800-00,2026-07-25,22,6,418.3626620769501,0.55,973.65,0.32161454321368055,1,0.44999999999999996
XRP,26JUL251800,KXXRP15M-26JUL251800-00,2026-07-25,22,5,359.76640796661377,0.54,2338.46,0.23632647126741524,0,-0.54
XRP,26JUL251800,KXXRP15M-26JUL251800-00,2026-07-25,22,4,299.9426770210266,0.5900000000000001,4751.080000000001,0.16541712621130347,1,0.4099999999999999
XRP,26JUL251800,KXXRP15M-26JUL251800-00,2026-07-25,22,3,239.3055911064148,0.63,7319.970000000004,0.1977152911828872,1,0.37
XRP,26JUL251800,KXXRP15M-26JUL251800-00,2026-07-25,22,2,178.81991910934448,0.904,11181.370000000004,0.2301802015316548,1,0.09599999999999997
XRP,26JUL251815,KXXRP15M-26JUL251815-15,2026-07-25,22,8,518.5614709854126,0.73,0.0,0.0,1,0.27
