coin,wkey,day,px,maker_yes,vol,frac_long,won,edge
SOL,26AUG040930,2026-08-04,0.71,False,523.9399999999999,0.5623353819139597,0,-0.71
SOL,26AUG040915,2026-08-04,0.77,False,976.63,0.045994900832454465,0,-0.77
SOL,26AUG040900,2026-08-04,0.76,False,641.5299999999999,0.298427197481022,1,0.24
SOL,26AUG040845,2026-08-04,0.71,False,1322.5,0.16455198487712663,0,-0.71
SOL,26AUG040830,2026-08-04,0.6699999999999999,False,441.77000000000004,0.6556579215428844,0,-0.6699999999999999
SOL,26AUG040815,2026-08-04,0.6799999999999999,False,515.7399999999999,0.36293481211463147,1,0.32000000000000006
SOL,26AUG040800,2026-08-04,0.68,True,1131.3899999999996,0.13906787226332212,1,0.31999999999999995
SOL,26AUG040745,2026-08-04,0.6699999999999999,False,11102.300000000003,0.27958080758041115,0,-0.6699999999999999
SOL,26AUG040730,2026-08-04,0.6599999999999999,False,938.4300000000001,0.15619705252389632,0,-0.6599999999999999
SOL,26AUG040715,2026-08-04,0.68,True,951.9499999999998,0.2750879773097327,0,-0.68
SOL,26AUG040645,2026-08-04,0.68,True,817.13,0.044117827028746955,1,0.31999999999999995
SOL,26AUG040630,2026-08-04,0.78,False,1846.62,0.14907777452859822,1,0.21999999999999997
SOL,26AUG040615,2026-08-04,0.72,False,1046.0700000000002,0.13688376494880838,1,0.28
SOL,26AUG040600,2026-08-04,0.71,False,1246.2499999999998,0.15900501504513545,0,-0.71
SOL,26AUG040545,2026-08-04,0.78,False,3263.1600000000008,0.30937496169357304,0,-0.78
SOL,26AUG040530,2026-08-04,0.6699999999999999,False,4023.85,0.13626501981932726,0,-0.6699999999999999
SOL,26AUG040515,2026-08-04,0.69,False,604.41,0.4743137936169156,1,0.31000000000000005
SOL,26AUG040500,2026-08-04,0.65,False,710.5099999999999,0.14938565255942918,1,0.35
SOL,26AUG040445,2026-08-04,0.65,False,343.53000000000003,0.6519663493726895,1,0.35
SOL,26AUG040430,2026-08-04,0.69,False,404.63,0.1527815535180288,1,0.31000000000000005
SOL,26AUG040415,2026-08-04,0.68,True,389.55,0.24220254139391603,0,-0.68
SOL,26AUG040400,2026-08-04,0.79,True,3918.81,0.07763326111753313,1,0.20999999999999996
SOL,26AUG040345,2026-08-04,0.72,True,415.93,0.43478469934844804,1,0.28
SOL,26AUG040330,2026-08-04,0.7,False,1551.6699999999996,0.2980659547455323,0,-0.7
SOL,26AUG040315,2026-08-04,0.65,False,414.55,0.7393559281148234,1,0.35
SOL,26AUG040300,2026-08-04,0.65,False,3389.8100000000027,0.27767042990610075,1,0.35
SOL,26AUG040245,2026-08-04,0.6799999999999999,False,6975.92000000001,0.3596156492620325,1,0.32000000000000006
SOL,26AUG040230,2026-08-04,0.73,True,4367.850000000001,0.535403001476699,0,-0.73
SOL,26AUG040215,2026-08-04,0.74,False,2741.84,0.26307151401978235,0,-0.74
SOL,26AUG040200,2026-08-04,0.6699999999999999,False,1647.8799999999997,0.43253149501177274,1,0.33000000000000007
SOL,26AUG040145,2026-08-04,0.68,True,809.44,0.14848537260328126,1,0.31999999999999995
SOL,26AUG040130,2026-08-04,0.67,True,2238.97,0.1484298583723766,1,0.32999999999999996
SOL,26AUG040115,2026-08-04,0.74,False,2079.99,0.11705344737234316,1,0.26
SOL,26AUG040100,2026-08-04,0.71,True,1401.99,0.1390951433319781,0,-0.71
SOL,26AUG040045,2026-08-04,0.67,True,2108.1500000000005,0.15109456158243006,1,0.32999999999999996
SOL,26AUG040030,2026-08-04,0.73,True,797.9399999999999,0.18298368298368298,1,0.27
SOL,26AUG040015,2026-08-04,0.6599999999999999,False,3079.69,0.1317405323263056,1,0.3400000000000001
SOL,26AUG040000,2026-08-04,0.66,True,3554.46,0.3195506490437366,0,-0.66
